year,month,date,time,accident_type,day,hit_run,light_condition,severity,speed_zone,longitude,latitude,node_type,lga,state_div,total_persons,fatality,males,females,passengers,old_driver,young_driver,alcohol
2018,January,1/1/18,00.02.00,Struck pedestrian,Monday,Yes,Dark,Serious injury accident,50 km/hr,144.95604,-37.73933,Non-Intersection,MORELAND,Metro,2,0,1,0,0,0,0,No
2018,January,1/1/18,01.41.00,Collision with object,Monday,No,Dark,Fatal accident,110 km/hr,144.06117,-37.55017,Non-Intersection,MOORABOOL,Country,2,0,1,1,1,0,0,No
2018,January,1/1/18,03.50.00,Collision with vehicle,Sunday,No,Dark,Other injury accident,60 km/hr,144.99213,-37.80499,Intersection,YARRA RANGES,Metro,2,0,1,1,0,0,0,No
2018,January,1/1/18,03.40.00,Collision with object,Monday,No,Dark,Serious injury accident,60 km/hr,144.24796,-36.78289,Non-Intersection,BENDIGO,Country,1,0,1,0,0,0,0,No
2018,January,1/1/18,01.30.00,Collision with vehicle,Monday,No,Dark,Other injury accident,60 km/hr,145.05883,-37.69784,Intersection,WHITTLESEA,Metro,4,0,2,2,1,0,0,No
2018,January,1/1/18,05.50.00,Vehicle overturned,Monday,No,Dusk/Dawn,Fatal accident,100 km/hr,142.72146,-37.05696,Non-Intersection,NORTHERN GRAMPIANS,Country,4,1,2,2,3,0,0,No
2018,January,1/1/18,12.21.00,Collision with object,Monday,No,Day,Other injury accident,60 km/hr,142.43059,-38.19076,Non-Intersection,MOYNE,Country,1,0,0,1,0,0,0,No
2018,January,1/1/18,13.05.00,Collision with object,Monday,No,Day,Other injury accident,100 km/hr,144.14933,-36.734,Non-Intersection,BENDIGO,Country,1,0,1,0,0,0,0,No
2018,January,1/1/18,14.30.00,Collision with object,Monday,No,Day,Other injury accident,70 km/hr,145.51249,-38.01114,Non-Intersection,CARDINIA,Metro,3,0,1,2,2,0,0,No
2018,January,1/1/18,16.09.00,Collision with vehicle,Monday,No,Day,Serious injury accident,70 km/hr,145.09689,-37.97046,Non-Intersection,KINGSTON,Metro,2,0,1,1,0,0,0,No
2018,January,1/1/18,18.14.00,Collision with vehicle,Monday,No,Day,Other injury accident,70 km/hr,144.995,-37.858,Non-Intersection,STONNINGTON,Metro,3,0,2,1,1,0,1,No
2018,January,1/1/18,18.50.00,Collision with vehicle,Monday,No,Day,Other injury accident,80 km/hr,145.26291,-38.0588,Intersection,CASEY,Metro,4,0,2,2,1,0,1,No
2018,January,1/1/18,03.45.00,Collision with vehicle,Monday,No,Dark,Serious injury accident,50 km/hr,144.88245,-37.72074,Intersection,MOONEE VALLEY,Metro,6,0,5,1,4,0,1,No
2018,January,2/1/18,01.00.00,Collision with object,Tuesday,No,Dark,Serious injury accident,70 km/hr,145.37984,-38.02668,Non-Intersection,CARDINIA,Metro,1,0,1,0,0,0,1,No
2018,January,2/1/18,01.00.00,No collision and no object struck,Tuesday,No,Dark,Other injury accident,50 km/hr,145.00825,-37.71634,Non-Intersection,DAREBIN,Metro,3,0,1,0,1,0,0,No
2018,January,2/1/18,06.55.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,144.9647,-36.25475,Intersection,CAMPASPE,Country,2,0,1,1,0,0,0,No
2018,January,2/1/18,07.40.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,147.16053,-36.73728,Non-Intersection,ALPINE,Country,3,0,1,2,1,0,0,No
2018,January,2/1/18,10.00.00,Collision with vehicle,Monday,No,Day,Other injury accident,60 km/hr,144.3548,-38.0737,Intersection,GEELONG,Country,4,0,2,2,1,0,0,No
2018,January,2/1/18,09.15.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,145.06018,-37.94179,Non-Intersection,KINGSTON,Metro,4,0,2,2,2,0,0,No
2018,January,2/1/18,09.00.00,Collision with object,Tuesday,No,Day,Serious injury accident,50 km/hr,145.04517,-37.75608,Non-Intersection,BANYULE,Metro,1,0,1,0,0,0,0,No
2018,January,2/1/18,07.00.00,Collision with object,Tuesday,No,Day,Other injury accident,100 km/hr,144.54521,-38.20873,Non-Intersection,GEELONG,Country,1,0,1,0,0,0,0,No
2018,January,2/1/18,10.15.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,147.56842,-38.05763,Intersection,WELLINGTON,Country,4,0,1,3,2,1,0,No
2018,January,2/1/18,08.45.00,Struck animal,Tuesday,No,Day,Serious injury accident,100 km/hr,146.81227,-38.51566,Non-Intersection,WELLINGTON,Country,1,0,1,0,0,0,0,No
2018,January,2/1/18,13.30.00,Collision with object,Tuesday,No,Day,Other injury accident,100 km/hr,145.03103,-38.44852,Non-Intersection,MORNINGTON PENINSULA,Metro,1,0,0,1,0,0,0,No
2018,January,2/1/18,11.25.00,Collision with object,Tuesday,No,Day,Other injury accident,80 km/hr,145.38335,-35.86603,Non-Intersection,MOIRA,Country,2,0,1,1,1,0,1,No
2018,January,2/1/18,15.23.00,Struck pedestrian,Tuesday,No,Day,Serious injury accident,60 km/hr,144.95911,-37.82678,Intersection,MELBOURNE,Metro,2,0,1,1,0,0,0,No
2018,January,2/1/18,13.30.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,145.57134,-36.75589,Intersection,STRATHBOGIE,Country,5,0,2,3,2,0,1,No
2018,January,2/1/18,16.20.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,145.04258,-37.88947,Intersection,GLEN EIRA,Metro,7,0,3,4,5,0,0,No
2018,January,2/1/18,18.33.00,Vehicle overturned,Tuesday,No,Day,Serious injury accident,100 km/hr,142.9077,-38.3684,Non-Intersection,CORANGAMITE,Country,2,0,2,0,1,0,0,No
2018,January,2/1/18,21.10.00,Struck pedestrian,Tuesday,No,Dark,Other injury accident,60 km/hr,144.7546,-38.36006,Non-Intersection,MORNINGTON PENINSULA,Metro,2,0,2,0,0,0,1,No
2018,January,2/1/18,18.30.00,Other accident,Tuesday,No,Day,Serious injury accident,50 km/hr,145.01369,-37.6652,Non-Intersection,WHITTLESEA,Metro,1,0,1,0,0,0,0,No
2018,January,2/1/18,12.40.00,Collision with vehicle,Monday,No,Day,Other injury accident,50 km/hr,144.87579,-38.36376,Non-Intersection,MORNINGTON PENINSULA,Metro,4,0,3,1,1,0,1,No
2018,January,2/1/18,15.10.00,Collision with vehicle,Tuesday,No,Day,Serious injury accident,50 km/hr,145.94229,-38.47522,Intersection,SOUTH GIPPSLAND,Country,4,0,1,3,2,0,0,No
2018,January,2/1/18,15.25.00,Collision with object,Tuesday,No,Day,Other injury accident,100 km/hr,141.9619,-38.15018,Non-Intersection,MOYNE,Country,2,0,2,0,1,0,0,No
2018,January,2/1/18,08.20.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,70 km/hr,144.74699,-37.88618,Intersection,WYNDHAM,Metro,2,0,1,1,0,0,0,No
2018,January,2/1/18,11.15.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,100 km/hr,145.14606,-38.09705,Intersection,FRANKSTON,Metro,2,0,1,1,0,0,0,No
2018,January,2/1/18,15.30.00,No collision and no object struck,Monday,No,Day,Serious injury accident,50 km/hr,145.14447,-38.14628,Intersection,FRANKSTON,Metro,1,0,1,0,0,0,0,No
2018,January,3/1/18,15.05.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,60 km/hr,143.82041,-37.58827,Intersection,BALLARAT,Country,4,0,3,1,2,0,0,No
2018,January,3/1/18,13.20.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,60 km/hr,145.21775,-38.00228,Intersection,DANDENONG,Metro,2,0,1,1,0,0,1,No
2018,January,3/1/18,01.45.00,Collision with object,Wednesday,No,Dark,Serious injury accident,100 km/hr,143.7856,-36.9467,Non-Intersection,CENTRAL GOLDFIELDS,Country,1,0,0,1,0,0,1,No
2018,January,3/1/18,11.10.00,No collision and no object struck,Tuesday,No,Day,Other injury accident,60 km/hr,146.88748,-36.12961,Non-Intersection,WODONGA,Country,1,0,1,0,0,0,0,No
2018,January,3/1/18,10.30.00,No collision and no object struck,Wednesday,No,Day,Serious injury accident,100 km/hr,142.84071,-37.07209,Non-Intersection,NORTHERN GRAMPIANS,Country,1,0,1,0,0,0,0,No
2018,January,3/1/18,10.30.00,Collision with vehicle,Wednesday,No,Day,Serious injury accident,60 km/hr,145.93206,-38.16941,Non-Intersection,BAW BAW,Country,4,0,2,2,1,0,0,No
2018,January,3/1/18,09.55.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,60 km/hr,144.76685,-38.36584,Non-Intersection,MORNINGTON PENINSULA,Metro,2,0,0,2,0,0,1,No
2018,January,3/1/18,11.50.00,No collision and no object struck,Wednesday,No,Day,Other injury accident,100 km/hr,144.14802,-37.18193,Non-Intersection,HEPBURN,Country,1,0,0,1,0,0,0,No
2018,January,3/1/18,11.47.00,Collision with vehicle,Wednesday,No,Day,Serious injury accident,80 km/hr,145.87363,-37.02754,Non-Intersection,MANSFIELD,Country,2,0,1,1,0,0,0,No
2018,January,3/1/18,15.10.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,70 km/hr,145.2524,-38.10937,Intersection,CASEY,Metro,4,0,2,2,2,0,1,No
2018,January,3/1/18,15.13.00,Collision with vehicle,Wednesday,No,Day,Serious injury accident,60 km/hr,144.97572,-37.79305,Intersection,MELBOURNE,Metro,3,0,2,1,1,0,1,No
2018,January,3/1/18,13.54.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,40 km/hr,144.99284,-37.82511,Intersection,YARRA RANGES,Metro,2,0,1,1,0,0,0,No
2018,January,3/1/18,16.50.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,80 km/hr,145.31973,-38.51739,Non-Intersection,BASS COAST,Country,3,0,1,2,1,0,1,No
2018,January,3/1/18,12.30.00,Collision with vehicle,Wednesday,No,Day,Serious injury accident,80 km/hr,145.33066,-38.03827,Non-Intersection,CASEY,Metro,7,0,5,2,3,0,1,No
2018,January,3/1/18,14.45.00,Collision with vehicle,Wednesday,No,Day,Other injury accident,80 km/hr,145.17974,-37.90571,Intersection,MONASH,Metro,5,0,4,1,3,1,0,No
2018,January,3/1/18,12.30.00,No collision and no object struck,Wednesday,No,Day,Serious injury accident,100 km/hr,145.85856,-37.55362,Non-Intersection,YARRA RANGES,Metro,1,0,1,0,0,0,0,No
2018,January,3/1/18,17.15.00,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,143.83573,-37.60395,Intersection,BALLARAT,Country,2,0,0,2,0,1,0,No
2018,January,3/1/18,15.00.00,Collision with vehicle,Wednesday,Yes,Day,Other injury accident,60 km/hr,144.94241,-37.666,Intersection,HUME,Metro,7,0,6,1,3,0,0,No
2018,January,3/1/18,16.00.00,Collision with object,Tuesday,No,Day,Other injury accident,60 km/hr,145.11374,-37.69981,Non-Intersection,BANYULE,Metro,1,0,0,1,0,0,0,No
2018,January,3/1/18,18.51.00,Collision with object,Wednesday,No,Day,Other injury accident,50 km/hr,145.26235,-37.58326,Non-Intersection,NILLUMBIK,Metro,2,0,1,1,1,0,1,No
2018,January,3/1/18,06.20.00,Collision with vehicle,Wednesday,No,Day,Serious injury accident,100 km/hr,143.89419,-37.85225,Non-Intersection,GOLDEN PLAINS,Country,3,0,2,0,1,0,0,No
2018,January,3/1/18,17.14.00,Vehicle overturned,Wednesday,No,Day,Serious injury accident,100 km/hr,146.54325,-38.49212,Non-Intersection,WELLINGTON,Country,2,0,1,1,1,0,0,No
